Coordinate,Pixel_Latitude_X,Pixel_Longitude_Y,Network_Type,avg_signal_strength_dBm,avg_download_speed_Mbps
"111,123",111,123,Wi-Fi,-18.8,786.2142878715831
"111,171",111,171,Wi-Fi,-17.6,717.9304577871408
"111,210",111,210,Wi-Fi,-18.0,731.0895543279912
"111,268",111,268,Wi-Fi,-18.9,851.1669089803106
"111,316",111,316,Wi-Fi,-16.6,962.6044218455916
"111,364",111,364,Wi-Fi,-13.6,754.1367786511893
"111,412",111,412,Wi-Fi,-14.1,663.615132882559
"111,460",111,460,Wi-Fi,-13.8,594.8495769993293
"159,123",159,123,Wi-Fi,-16.8,728.0215178267051
"159,171",159,171,Wi-Fi,-19.7,634.5391571761328
"159,210",159,210,Wi-Fi,-21.6,723.9204177080867
"159,268",159,268,Wi-Fi,-19.8,960.3600861458602
"159,316",159,316,Wi-Fi,-27.1,940.3391202524132
"159,364",159,364,Wi-Fi,-9.7,828.1970463033122
"159,412",159,412,Wi-Fi,-14.3,939.3449702024736
"159,460",159,460,Wi-Fi,-15.1,642.5586757465769
"207,123",207,123,Wi-Fi,-16.4,762.0536745581772
"207,171",207,171,Wi-Fi,-20.8,698.1318138369595
"207,210",207,210,Wi-Fi,-19.5,746.7337770754751
"207,268",207,268,Wi-Fi,-26.2,699.7541636095508
"207,316",207,316,Wi-Fi,-20.4,631.5650508632756
"207,364",207,364,Wi-Fi,-10.0,1007.8140977094778
"207,412",207,412,Wi-Fi,-13.3,1083.7871762958573
"207,460",207,460,Wi-Fi,-16.5,1027.9630580836147
"207,508",207,508,Wi-Fi,-12.9,945.1319610912922
"207,75",207,75,Wi-Fi,-14.9,756.4667779871343
"255,123",255,123,Wi-Fi,-11.5,996.3008802201778
"255,171",255,171,Wi-Fi,-7.6,926.0444664668618
"255,210",255,210,Wi-Fi,-11.7,866.3684869236031
"255,268",255,268,Wi-Fi,-6.2,923.390266061932
"255,316",255,316,Wi-Fi,-10.0,806.1244206564259
"255,364",255,364,Wi-Fi,-7.4,789.7233788531314
"255,412",255,412,Wi-Fi,-8.4,708.3123891295722
"255,460",255,460,Wi-Fi,-12.1,967.7661778108429
"255,604",255,604,Wi-Fi,-14.1,948.8773893485775
"255,652",255,652,Wi-Fi,-18.0,752.5530331571641
"255,75",255,75,Wi-Fi,-13.5,982.2554560382086
"303,123",303,123,Wi-Fi,-7.8,1055.6121552363848
"303,171",303,171,Wi-Fi,-11.9,739.0289791888079
"303,210",303,210,Wi-Fi,-9.0,838.9534067455792
"303,268",303,268,Wi-Fi,-4.6,965.75225352015
"303,316",303,316,Wi-Fi,-8.9,877.5981618186288
"303,364",303,364,Wi-Fi,-7.5,765.6664433077065
"303,412",303,412,Wi-Fi,-9.1,766.2330110221964
"303,460",303,460,Wi-Fi,-12.4,980.5970722411603
"303,508",303,508,Wi-Fi,-12.0,816.6839499103371
"303,556",303,556,Wi-Fi,-11.5,848.0733003314508
"303,604",303,604,Wi-Fi,-13.5,912.6274222428608
"303,652",303,652,Wi-Fi,-15.4,919.4447685903064
"303,75",303,75,Wi-Fi,-7.7,934.1809212529531
"351,123",351,123,Wi-Fi,-9.3,915.732287600209
"351,171",351,171,Wi-Fi,-9.8,978.5068717405023
"351,210",351,210,Wi-Fi,-10.0,1026.6919523213421
"351,268",351,268,Wi-Fi,-11.9,912.0349388309209
"351,364",351,364,Wi-Fi,-18.8,976.2818554516989
"351,412",351,412,Wi-Fi,-24.4,956.821607624191
"351,460",351,460,Wi-Fi,-16.9,1086.150200969998
"351,75",351,75,Wi-Fi,-8.2,861.9992993161092
"399,123",399,123,Wi-Fi,-10.1,982.0739237108864
"399,171",399,171,Wi-Fi,-10.3,969.9202926396083
"399,210",399,210,Wi-Fi,-13.6,843.415925251212
"399,268",399,268,Wi-Fi,-17.3,920.6571374194518
"399,364",399,364,Wi-Fi,-18.4,956.354394400365
"399,412",399,412,Wi-Fi,-17.6,922.2533811550753
"399,460",399,460,Wi-Fi,-18.0,1025.937989270897
"399,75",399,75,Wi-Fi,-12.0,944.6437225187423
"447,123",447,123,Wi-Fi,-14.0,965.989716665919
"447,171",447,171,Wi-Fi,-14.1,881.3581550481862
"447,210",447,210,Wi-Fi,-15.0,820.590013889953
"447,268",447,268,Wi-Fi,-15.0,890.760047698657
"447,460",447,460,Wi-Fi,-18.7,881.7263910929894
"447,508",447,508,Wi-Fi,-20.6,879.4523811780375
"447,75",447,75,Wi-Fi,-12.2,980.3087302597303
"495,460",495,460,Wi-Fi,-23.6,1033.7515273858467
"495,508",495,508,Wi-Fi,-18.3,730.0931188801767
"495,556",495,556,Wi-Fi,-20.6,963.9802197255389
"495,604",495,604,Wi-Fi,-22.5,820.2667811029039
"495,652",495,652,Wi-Fi,-18.0,898.3372863146342
"495,75",495,75,Wi-Fi,-13.0,958.8158463340454
"63,210",63,210,Wi-Fi,-19.8,755.0399391718623
"63,364",63,364,Wi-Fi,-16.5,608.2468678270812
"63,412",63,412,Wi-Fi,-11.5,750.0502491106697
"63,460",63,460,Wi-Fi,-13.0,633.9621745666278
"63,508",63,508,Wi-Fi,-14.7,654.4946280782887
